question,ground_truth,book_name,page_number
การตรวจพบภาวะเลือดออกตามอวัยวะในผู้ป่วยโรคไข้เลือดออกสามารถทำได้โดยการทดสอบใด?,การทำ Tourniquet test ได้ผลบวก,คู่มือโรค,522
ฮอร์โมนใดที่ผลิตโดยตับอ่อนและมีหน้าที่ช่วยให้น้ำตาลกลูโคสซึมเข้าสู่เซลล์ได้?,อินซูลิน,คู่มือโรค,378
อาการของผู้ป่วยที่มีโรคกระเพาะอาหารอักเสบ ชนิดเฉียบพลัน มักพบได้บ่อยในลักษณะใด?,ปวดท้องแบบแสบบริเวณลิ้นปี่หรือยอดอก ปวดเวลาหิวหรือหลังตื่นนอนตอนดึก มีอาการคลื่นไส้ อาเจียน และรับประทานอาหารไม่ได้,คู่มือโรค,281
หลอดเลือดแดงมีลักษณะเฉพาะอย่างไรเมื่อเทียบกับหลอดเลือดดำ?,หลอดเลือดแดงมีผนังหนาและมีชั้นกล้ามเนื้อหลายชั้นเพื่อรับแรงดันสูงขณะสูบฉีดเลือดจากหัวใจ ในขณะที่หลอดเลือดดำมีผนังบางกว่าและมีชั้นกล้ามเนื้อสั้นกว่า,คู่มือโรค,119
ความแตกต่างทางพยาธิสรีรภาพระหว่าง Exogenous Cushing's syndrome และ Endogenous Cushing's syndrome มีอะไรบ้าง?,ผู้ป่วยกลุ่ม Exogenous Cushing's syndrome มีระดับ Cortisol สูงในเวลากลางวันและต่ำในตอนเช้าเนื่องจากไม่ได้รับยาสเตียรอยด์ และมีลักษณะต้อกระจก เนื้อตายของกระดูกต้นขา สีผิวคล้ำ และมีลักษณะของเพศชายเนื่องจากฮอร์โมนกลูโคคอร์ติคอยด์ยับยั้งการหลั่ง ACTH ส่วนผู้ป่วยกลุ่ม Endogenous Cushing's syndrome มีระดับ Cortisol สูงตลอดทั้งวันทั้งตอนเช้าและตอนบ่าย มี Cortisol ในปัสสาวะมากกว่าปกติ และบางรายมีการสร้างกลูโคคอร์ติคอยด์มากเป็นช่วงๆ,คู่มือโรค,384
การรักษาภาวะแพ้ภูมิแพ้รุนแรง (Anaphylaxis) ในระยะฉุกเฉินมีวิธีใดบ้าง?,ให้ยา Epinephrine ฉีดทางชั้นใต้ผิวหนังทันที ให้สารละลายออกซิเจน ให้ยาต้านฮีสตามีน และให้ Corticosteroids ภายหลัง,คู่มือโรค,521
หลังการผ่าตัดผู้ป่วยมะเร็งลุกลามไปยังอวัยวะอื่นควรได้รับการดูแลอย่างไร?,หลังผ่าตัดให้ยาแก้ปวดตามแผนการรักษา แนะนำวิธีผ่อนคลายหรือทำสมาธิร่วมด้วย จัดให้ผู้ป่วยนอนศีรษะสูง ดูแลให้ได้รับยาปฏิชีวนะ ช่วยพยุงศีรษะขณะลุกนั่ง บันทึกสัญญาณชีพจนกว่าจะคงที่ ดูแลให้ผู้ป่วยหายใจได้สะดวก ดูดเสมหะและน้ำลายที่คั่งค้างในปาก ให้ออกซิเจนตามแผนการรักษา ให้ไอและหายใจลึกๆ ทุก 2 ชั่วโมง ตรวจแผลเพื่อดูว่ามีเลือดออกหรือไม่ ให้ผู้ป่วยได้รับน้ำอย่างเพียงพอ ดูแลให้ผู้ป่วยรักษาความสะอาดปาก โดยบ้วนปากด้วยน้ำเกลือ ให้การพยาบาลเพื่อให้การสื่อสารมีประสิทธิภาพโดยใช้ท่าทางประกอบการพูด ใช้บัตรคำ ใช้วิธีเขียน ให้การพยาughtเพื่อให้ผู้ป่วยนอนหลับได้เพียงพอ,คู่มือโรค,268
ภาวะโพแทสเซียมในเลือดสูงเกินกว่า 8 mEq/L จะทำให้เกิดอาการใด?,กล้ามเนื้อหัวใจจะอ่อนแรงชัดเจน,คู่มือโรค,439
การวางตำแหน่งผู้ป่วยเพื่อช่วยบรรเทาอาการปวดจากภาวะขาดเลือดไปเลี้ยงเนื้อเยื่อส่วนปลายควรทำอย่างไร?,ให้ผู้ป่วยนอนยกหัวเตียงเล็กน้อยหรือใช้เก้าอี้ที่ปรับเอนไปข้างหลังได้ และให้เท้าต่ำเล็กน้อย,คู่มือโรค,138
หลังผ่าตัดควรดูแลผู้ป่วยอย่างไรเพื่อป้องกันภาวะแทรกซ้อน?,"ควรให้ผู้ป่วยนอนท่านอนตะแคง ดื่มน้ำให้มากๆ 2,000-3,000 มิลลิลิตรต่อวัน เสริมอาหารที่มีประโยชน์ อยู่ในที่ที่มีอากาศถ่ายเทได้สะดวก และสังเกตอาการผิดปกติ เช่น แผลผ่าตัดติดเชื้อ อักเสบ ปวด บวม แดง ร้อน มีสิ่งขับหลั่งจากแผล มีไข้ หากมีอาการปวดมากขึ้น ชาที่ขามากขึ้น ขาไม่มีแรง หรือพบสิ่งผิดปกติต่างๆ ให้มาพบแพทย์ก่อน",คู่มือโรค,114
ภาวะอะนาไฟแลกซิสเกิดจากปฏิกิริยาใดระหว่างสารต่างๆ ในร่างกาย?,ปฏิกิริยาระหว่างแอนติเจนกับแอนติบอดีชนิดไอจีอี (Immunoglobulin E; IgE),คู่มือโรค,518
